record_id,display_id,document_type,source,impact,impact_score,updated_on,effective_date,contractor,tags,title,summary,cms_url
A55001-v69,A55001,Article,local,high,106,04/30/2026,06/01/2026,"Noridian Healthcare Solutions, LLC (MAC - Part A, MAC - Part B)",coding; effective date,Billing and Coding: Urine Drug Testing,"High-signal revision from CMS notes: Revision Effective Date: 06/01/2026 Under ICD-10-CM Codes That Support Medical Necessity: Added: F11.120, F12.10, F12.20, F12.21, F13.10, F13.20, F13.21, F14.10, F14.120, F14.20, F14.21, F15.10, F15.20, F15.21, F19.10...",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=55001&ver=69
L40255-v6,L40255,LCD,local,low,24,04/29/2026,06/21/2026,"Noridian Healthcare Solutions, LLC (MAC - Part A, MAC - Part B)",general update,Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,Lower-urgency correction or cleanup: Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=40255&ver=6
A60428-v3,A60428,Article,local,low,24,04/29/2026,06/21/2026,"Noridian Healthcare Solutions, LLC (MAC - Part A, MAC - Part B)",general update,Response to Comments: Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,Lower-urgency correction or cleanup: Response to Comments: Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=60428&ver=3
A60279-v4,A60279,Article,local,low,24,04/29/2026,06/21/2026,"Noridian Healthcare Solutions, LLC (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,Lower-urgency correction or cleanup: Billing and Coding: Temporary Nontherapeutic Ambulatory Cardiac Monitoring Devices,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=60279&ver=4
