record_id,display_id,document_type,source,impact,impact_score,updated_on,effective_date,contractor,tags,title,summary,cms_url
A57944-v25,A57944,Article,local,high,106,05/01/2026,05/07/2026,"WPS Insurance Corporation (MAC - Part A, MAC - Part B)",coding,Billing and Coding: Hypoglossal Nerve Stimulation for Treatment of Obstructive Sleep Apnea,"High-signal revision from CMS notes: Posted 05/07/2026 Under Coding Guidelines added reduced services modifier 52 information under Implantation codes. Under CPT/HCPCS Modifiers added 64582, 64583, and 64584 to Group 1 Paragraph . This is effective 01/01...",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=57944&ver=25
A56915-v37,A56915,Article,local,high,106,04/29/2026,06/01/2026,"WPS Insurance Corporation (MAC - Part A, MAC - Part B)",coding,Billing and Coding: Urine Drug Testing,"High-signal revision from CMS notes: Posted 05/07/2026 Under ICD-10 Codes that Support Medical Necessity Group 1 Codes added F11.120, F12.10, F12.20, F12.21, F13.10, F13.20, F13,21, F14.10, F14.20, F14.21, F14.120, F15.10, F15.20, F15.21, F19.10, F19.21.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=56915&ver=37
A59809-v10,A59809,Article,local,high,82,04/29/2026,04/09/2026,"WPS Insurance Corporation (MAC - Part A, MAC - Part B)",coding,Billing and Coding: Botulinum Toxin Injections,"High-signal revision from CMS notes: Posted 05/07/2026. Update to revision history posted 04/0/09/2026. Under the ICD-10-CM Codes that Support Medical Necessity section, the group for Paralytic ptosis was removed. Revision effective 04/09/2026.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=59809&ver=10
A58473-v11,A58473,Article,local,low,24,04/30/2026,01/01/2024,"WPS Insurance Corporation (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Non-Invasive Fractional Flow Reserve (FFR) for Ischemic Heart Disease,Lower-urgency correction or cleanup: Posted 04/30/2026: biennial review completed 04/30/2026 with no changes made to the article.,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=58473&ver=11
