record_id,display_id,document_type,source,impact,impact_score,updated_on,effective_date,contractor,tags,title,summary,cms_url
240.9-v1,240.9,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Noninvasive Positive Pressure Ventilation (NIPPV) in the Home for the Treatment of Chronic Respiratory Failure (CRF) Consequent to Chronic Obstructive Pulmonary Disease (COPD),"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=380&ncdver=1
220.6.17-v4,220.6.17,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Positron Emission Tomography (FDG) for Oncologic Conditions,"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=331&ncdver=4
160.18-v3,160.18,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Vagus Nerve Stimulation (VNS),"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=230&ncdver=3
110.18-v2,110.18,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Aprepitant for Chemotherapy-Induced Emesis,"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=309&ncdver=2
90.2-v2,90.2,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Next Generation Sequencing (NGS),"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=372&ncdver=2
150.13-v2,150.13,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Percutaneous Image-Guided Lumbar Decompression for Lumbar Spinal Stenosis,"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=358&ncdver=2
210.10-v1,210.10,NCD,national,medium,48,04/30/2026,,,operations; coding notice,Screening for Sexually Transmitted Infections (STIs) and High-Intensity Behavioral Counseling (HIBC) to Prevent STIs,"Updated NCD coding via a new Change Request/Transmittal, no policy changes.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=352&ncdver=1
110.17-v2,110.17,NCD,national,low,24,04/23/2026,,,general update,Anti-Cancer Chemotherapy for Colorectal Cancer - RETIRED,"Effective 2/25/2026, this section of the NCD Manual is removed.",https://www.cms.gov/medicare-coverage-database/view/ncd.aspx?ncdid=291&ncdver=2
