record_id,display_id,document_type,source,impact,impact_score,updated_on,effective_date,contractor,tags,title,summary,cms_url
A60185-v11,A60185,Article,local,medium,48,04/29/2026,03/01/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Superficial Radiation Therapy (SRT) for the Treatment of Nonmelanoma Skin Cancers (NMSC),Meaningful policy or coding update detected: Revision Effective: 03/01/2026 Revision Explanation: - Under Coding Guidance : “A qualified physician for this service is one that has training and expertise that must have been acquired within the framework of an acc...,https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=60185&ver=11
L35249-v20,L35249,LCD,local,medium,48,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Nerve Blocks for Peripheral Neuropathy,"Meaningful policy or coding update detected: R14 Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes were made. 04/29/2026: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires co...",https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35249&ver=20
L34195-v28,L34195,LCD,local,medium,48,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Mohs Micrographic Surgery,"Meaningful policy or coding update detected: R21 Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes. 04/29/2026: At this time 21st Century Cures Act will apply to new and revised LCDs that restrict coverage which requires comment and...",https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=34195&ver=28
A57068-v17,A57068,Article,local,low,24,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Ocular Photography - External,"Lower-urgency correction or cleanup: Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes were made.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=57068&ver=17
A57307-v38,A57307,Article,local,low,24,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Nerve Conduction Studies and Electromyography,"Lower-urgency correction or cleanup: Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=57307&ver=38
A57663-v14,A57663,Article,local,low,24,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Billing and Coding: Nerve Blocks for Peripheral Neuropathy,"Lower-urgency correction or cleanup: Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=57663&ver=14
A56836-v18,A56836,Article,local,low,24,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",administrative correction,Billing and Coding: Mohs Micrographic Surgery,"Lower-urgency correction or cleanup: Revision Effective: 05/07/2026 Revision Explanation: Annual review, correction to typographical error.",https://www.cms.gov/medicare-coverage-database/view/article.aspx?articleid=56836&ver=18
L35897-v32,L35897,LCD,local,low,24,04/29/2026,05/07/2026,"CGS Administrators, LLC (MAC - Part A, MAC - Part B)",general update,Nerve Conduction Studies and Electromyography,"Lower-urgency correction or cleanup: Revision 22 Revision Effective: 05/07/2026 Revision Explanation: Annual review, no changes were made.",https://www.cms.gov/medicare-coverage-database/view/lcd.aspx?lcdid=35897&ver=32
